event_id,landslide_trigger,landslide_size,fatality_count,admin_division_name,longitude,latitude,event_date,elevation,slope,aspect,ndvi,ndwi,population,soil_type,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,label,point_id,road_distance_m
35.0,rain,medium,2.0,Kashmir,74.91120324,34.09349739,2007-3-12,1964,17.38948134,267.0371473,0.501254499,-0.5101647973,28.87492561,7.0,51.64063072,51.64063072,68.38983154,117.4752132,1,,
37.0,rain,medium,2.0,Kashmir,74.33329928,33.87780176,2007-3-19,2709,29.24790096,303.3154887,0.3556796908,-0.3639537692,0.2586887181,7.0,36.48324966,115.530426,189.7191181,260.8350611,1,,
43.0,downpour,medium,10.0,Kashmir,74.33129715,33.96590022,2007-3-23,3677,34.40571613,94.066242,-0.01003978774,0.002596222097,4.849047184,7.0,40.36266851,115.11622,252.0530791,300.3047345,1,,
73.0,rain,medium,0.0,Kashmir,75.23100105,33.24200083,2007-05-08,691,15.5389891,150.8397375,0.3602558374,-0.3641346097,8.500190735,7.0,0.0,10.64019215,16.6526953,27.91233599,1,,
111.0,downpour,medium,0.0,Kashmir,75.22742039,33.24431511,2007-07-02,836,38.40528794,244.6072866,0.2671207488,-0.2996205688,4.247404099,7.0,2.829915047,22.96715093,22.96715093,35.63453007,1,,
146.0,downpour,medium,0.0,Uttarakhand,78.4390032,30.73299844,2007-7-30,1430,46.24334928,172.7483503,0.6977897882,-0.6812915206,3.239362001,7.0,13.86089802,66.32531643,85.62707615,214.7464564,1,,
149.0,downpour,medium,0.0,Uttarakhand,79.55999891,30.55699773,2007-7-30,1851,15.45995564,297.9201297,0.2906882465,-0.3658302128,3.645549297,7.0,19.37277603,42.84219551,42.84219551,138.9717035,1,,
150.0,downpour,medium,2.0,Uttarakhand,79.34899871,30.4000017,2007-7-30,1342,42.28108622,36.76598701,0.5558273196,-0.5561246276,1.970486283,7.0,5.552551746,62.19361305,62.19361305,189.4041209,1,,
157.0,rain,medium,0.0,Kashmir,75.22569918,33.24509991,2007-08-06,771,37.21035235,215.89363,0.2619942427,-0.2642342746,2.765582323,7.0,5.106586456,15.31975937,15.31975937,100.0557632,1,,
173.0,rain,medium,0.0,Uttarakhand,78.3026974,30.07020212,2007-8-11,468,4.278963277,270.0,0.7357951403,-0.667983532,6.508765697,7.0,30.91347599,53.48510075,155.7184448,324.7158413,1,,
177.0,rain,large,2.0,Himachal Pradesh,77.59139944,32.73340023,2007-8-12,5761,15.48722457,283.5142496,-0.05427479744,0.07759251446,0.001432946301,,1.993797719,1.993797719,1.993797719,1.993797719,1,,
178.0,rain,medium,11.0,Himachal Pradesh,76.26650241,32.09850004,2007-8-12,774,6.604858232,261.9635538,0.2495967448,-0.2734382749,9.025399208,4.0,22.41358757,62.83369446,96.72623634,172.1153717,1,,
234.0,rain,medium,0.0,Kashmir,75.30979782,33.16620058,2007-09-05,946,28.84262459,357.9876943,0.2351304442,-0.2834295034,3.310926437,7.0,5.207120895,11.99086475,45.97051239,119.4482698,1,,
237.0,rain,large,0.0,Uttarakhand,80.21669964,29.5832995,2007-09-06,1579,10.88920522,255.3779454,0.389834851,-0.4269765317,47.18540573,4.0,122.0335236,140.816246,189.1653261,299.037333,1,,
395.0,rain,medium,13.0,Kashmir,76.83271015,34.93977235,2007-12-16,4782,48.88679464,271.6191724,0.00834149681,-0.02784186788,0.008055598475,9.0,2.120476007,4.255450755,7.407230824,11.78144976,1,,
410.0,rain,medium,1.0,Kashmir,75.54640218,33.15169958,2008-01-06,1200,37.04404653,92.45846509,0.3364379704,-0.3857414424,13.68445492,7.0,2.596991062,2.596991062,2.596991062,16.97579241,1,,
416.0,rain,medium,0.0,Kashmir,75.19230051,33.43409891,2008-01-07,1703,35.28768849,61.29253374,0.6032790542,-0.5854474902,4.919126511,7.0,6.05556345,8.759898663,8.759898663,45.11641741,1,,
419.0,rain,medium,0.0,Kashmir,75.24528355,33.23738121,2008-01-09,875,32.85292085,219.0045166,0.1671039462,-0.2202363312,7.944568634,7.0,22.34680796,22.34680796,22.34680796,47.62740898,1,,
428.0,snowfall_snowmelt,medium,0.0,Kashmir,75.2005989,33.25370152,2008-1-16,670,15.28023151,219.6203408,0.268257767,-0.3222849965,,4.0,5.371487141,23.50770283,57.50246906,65.6661129,1,,
443.0,downpour,medium,0.0,Kashmir,75.21320478,33.33280597,2008-02-03,1488,40.78724992,208.1371663,0.2631290257,-0.3296877742,2.500746965,7.0,0.0,3.142256021,3.142256021,100.2395704,1,,
452.0,rain,medium,0.0,Kashmir,75.24199719,33.24180017,2008-2-13,827,36.98310401,257.5873576,0.5795305967,-0.5506577492,8.179836273,7.0,0.0,6.010285378,6.010285378,48.53116274,1,,
481.0,snowfall_snowmelt,medium,25.0,Himachal Pradesh,77.1613013,32.28620144,2008-3-17,2388,41.61113805,165.0067118,0.6511496305,-0.6454626322,0.9140514135,7.0,0.0,5.135344148,5.135344148,12.41198075,1,,
488.0,rain,medium,2.0,Kashmir,77.26650042,34.21900325,2008-3-30,3379,2.166701657,211.1602426,0.05233136192,-0.1507654786,0.391712606,9.0,3.047153711,4.570730567,6.73754108,6.73754108,1,,
492.0,rain,medium,0.0,Kashmir,74.99849906,33.93370105,2008-04-05,1590,0.9274099369,0.0,0.3695057929,-0.3900036812,6.991352081,7.0,9.751368284,16.58445525,22.67378706,29.16781777,1,,
516.0,unknown,medium,12.0,Kashmir,75.74539849,33.14629961,2008-05-01,1278,33.05855199,340.9281215,0.5625329018,-0.5609793067,2.345854759,7.0,1.02122438,1.02122438,1.02122438,21.60353535,1,,
523.0,downpour,medium,0.0,Kashmir,74.98449748,33.95130112,2008-05-05,1596,2.419500107,292.5265818,0.1454045027,-0.1823872328,7.011182785,7.0,4.76798439,10.08704805,13.83456802,59.72661829,1,,
568.0,rain,medium,0.0,Himachal Pradesh,77.19300105,31.20770097,2008-06-03,863,28.00075771,214.7162521,0.7530508041,-0.6975744963,3.027746201,7.0,0.0,0.0,14.74694157,20.26976824,1,,
588.0,rain,medium,0.0,Kashmir,75.09439649,32.56589855,2008-6-15,346,10.8066246,115.0892786,0.5288136601,-0.5209366679,10.48916817,7.0,6.253404617,10.75988388,15.6116147,23.46040547,1,,
592.0,rain,medium,0.0,Himachal Pradesh,77.24659945,32.37120083,2008-6-18,3971,7.51810232,119.382353,-0.007048627827,-0.009127235971,0.08035057783,7.0,4.556630611,6.834945917,10.4067471,15.52103591,1,,
653.0,rain,medium,14.0,Uttarakhand,80.10000051,29.33000027,2008-7-18,1622,12.5004036,48.91766156,0.5293320417,-0.5604258776,5.987045288,4.0,35.49407387,63.62571335,117.0990658,199.9647913,1,,
697.0,rain,medium,0.0,Himachal Pradesh,77.08999582,31.13000113,2008-08-08,1684,27.17915324,203.8991554,0.4905585349,-0.545134306,1.162033677,7.0,15.66091514,21.11376452,47.6853435,102.4543684,1,,
715.0,monsoon,medium,0.0,Himachal Pradesh,77.12000111,31.0000005,2008-8-14,1440,28.02313098,54.69789115,0.5160865188,-0.5601782203,1.206344247,7.0,20.32681847,42.64458179,72.87363386,106.6475425,1,,
