event_id,landslide_trigger,landslide_size,fatality_count,admin_division_name,longitude,latitude,event_date,elevation,slope,aspect,ndvi,ndwi,population,soil_type,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,label,system:index,point_id,road_distance_m,.geo,rainfall_ratio_3d_7d,rainfall_ratio_7d_14d,rainfall_ratio_14d_30d,rainfall_acceleration,high_short_term_rain,sustained_heavy_rain,slope_elevation_product,steep_low_elevation,north_facing,low_veg_steep
35.0,rain,medium,2.0,Kashmir,74.91120324,34.09349739,2007-3-12,1964,17.38948134,267.0371473,0.501254499,-0.5101647973,28.87492561,7.0,51.64063072,51.64063072,68.38983154,117.4752132,1,,,,,1.0,0.7550922345787079,0.5821639278369916,0.0,0,0,34.15294135176,0,0,0
37.0,rain,medium,2.0,Kashmir,74.33329928,33.87780176,2007-3-19,2709,29.24790096,303.3154887,0.3556796908,-0.3639537692,0.2586887181,7.0,36.48324966,115.530426,189.7191181,260.8350611,1,,,,,0.3157891035561489,0.6089551077245915,0.7273528232742634,2.1666703782329684,0,0,79.23256370063999,0,0,0
43.0,downpour,medium,10.0,Kashmir,74.33129715,33.96590022,2007-3-23,3677,34.40571613,94.066242,-0.01003978774,0.002596222097,4.849047184,7.0,40.36266851,115.11622,252.0530791,300.3047345,1,,,,,0.35062538111484204,0.4567141984975656,0.839324360036022,1.852046810816771,0,0,126.50981821001001,0,0,1
73.0,rain,medium,0.0,Kashmir,75.23100105,33.24200083,2007-05-08,691,15.5389891,150.8397375,0.3602558374,-0.3641346097,8.500190735,7.0,0.0,10.64019215,16.6526953,27.91233599,1,,,,,0.0,0.6389471468921911,0.5966070093870349,0.0,0,0,10.7374414681,0,0,0
111.0,downpour,medium,0.0,Kashmir,75.22742039,33.24431511,2007-07-02,836,38.40528794,244.6072866,0.2671207488,-0.2996205688,4.247404099,7.0,2.829915047,22.96715093,22.96715093,35.63453007,1,,,,,0.12321576392409767,1.0,0.6445195400327612,7.115844662668419,0,0,32.10682071784,1,0,1
146.0,downpour,medium,0.0,Uttarakhand,78.4390032,30.73299844,2007-7-30,1430,46.24334928,172.7483503,0.6977897882,-0.6812915206,3.239362001,7.0,13.86089802,66.32531643,85.62707615,214.7464564,1,,,,,0.20898351890456257,0.7745834543481607,0.3987356885205394,3.7850663307888617,0,0,66.1279894704,1,0,0
149.0,downpour,medium,0.0,Uttarakhand,79.55999891,30.55699773,2007-7-30,1851,15.45995564,297.9201297,0.2906882465,-0.3658302128,3.645549297,7.0,19.37277603,42.84219551,42.84219551,138.9717035,1,,,,,0.45218915135845705,1.0,0.3082799910414857,1.21146393493922,0,0,28.61637788964,0,0,0
150.0,downpour,medium,2.0,Uttarakhand,79.34899871,30.4000017,2007-7-30,1342,42.28108622,36.76598701,0.5558273196,-0.5561246276,1.970486283,7.0,5.552551746,62.19361305,62.19361305,189.4041209,1,,,,,0.08927848815498265,1.0,0.3283646245629284,10.20090651920599,0,0,56.741217707240004,1,1,0
157.0,rain,medium,0.0,Kashmir,75.22569918,33.24509991,2007-08-06,771,37.21035235,215.89363,0.2619942427,-0.2642342746,2.765582323,7.0,5.106586456,15.31975937,15.31975937,100.0557632,1,,,,,0.3333333332898165,1.0,0.15311221343020048,2.0000000003916516,0,0,28.68918166185,1,0,1
173.0,rain,medium,0.0,Uttarakhand,78.3026974,30.07020212,2007-8-11,468,4.278963277,270.0,0.7357951403,-0.667983532,6.508765697,7.0,30.91347599,53.48510075,155.7184448,324.7158413,1,,,,,0.5779829439696811,0.3434731243218787,0.479552965991992,0.7301548608542615,0,0,2.002554813636,0,0,0
